"state","district_name","version","nrecords","district_file","status"
"MZ","Saiha",2020-12-15 13:11:00,104,"Saiha.pdf","TRUE"
"MZ","Serchhip",2020-12-15 13:11:00,104,"Serchhip.pdf","TRUE"
"NL","Dimapur",2020-12-15 13:11:00,104,"Dimapur.pdf","TRUE"
"NL","Kiphire",2020-12-15 13:11:00,104,"Kiphire.pdf","TRUE"
"NL","Kohima",2020-12-15 13:11:00,104,"Kohima.pdf","TRUE"
"NL","Longleng",2020-12-15 13:11:00,104,"Longleng.pdf","TRUE"
"NL","Mokokchung",2020-12-15 13:11:00,104,"Mokokchung.pdf","TRUE"
"NL","Mon",2020-12-15 13:11:00,104,"Mon.pdf","TRUE"
"NL","Peren",2020-12-15 13:11:00,104,"Peren.pdf","TRUE"
"NL","Phek",2020-12-15 13:11:00,104,"Phek.pdf","TRUE"
"NL","Tuensang",2020-12-15 13:11:00,104,"Tuensang.pdf","TRUE"
"NL","Wokha",2020-12-15 13:11:00,104,"Wokha.pdf","TRUE"
"NL","Zunheboto",2020-12-15 13:11:00,104,"Zunheboto.pdf","TRUE"
"SK","East District",2020-12-15 13:11:00,104,"East District.pdf","TRUE"
"SK","North District",2020-12-15 13:11:00,104,"North District.pdf","TRUE"
"SK","South District",2020-12-15 13:11:00,104,"South District.pdf","TRUE"
"SK","West District",2020-12-15 13:11:00,104,"West District.pdf","TRUE"
"TG","Adilabad",2020-12-15 13:11:00,104,"Adilabad.pdf","TRUE"
"TG","Bhadradri Kothagudem",2020-12-15 13:11:00,104,"Bhadradri Kothagudem.pdf","TRUE"
"TG","Hyderabad",2020-12-15 13:11:00,104,"Hyderabad.pdf","TRUE"
"TG","Jagitial",2020-12-15 13:11:00,104,"Jagitial.pdf","TRUE"
"TG","Jangoan",2020-12-15 13:11:00,104,"Jangoan.pdf","TRUE"
"TG","Jayashankar Bhupalapally",2020-12-15 13:11:00,104,"Jayashankar Bhupalapally.pdf","TRUE"
"TG","Jogulamba Gadwal",2020-12-15 13:11:00,104,"Jogulamba Gadwal.pdf","TRUE"
"TG","Kamareddy",2020-12-15 13:11:00,104,"Kamareddy.pdf","TRUE"
"TG","Karimnagar",2020-12-15 13:11:00,104,"Karimnagar.pdf","TRUE"
"TG","Khammam",2020-12-15 13:11:00,104,"Khammam.pdf","TRUE"
"TG","Komaram Bheem Asifabad",2020-12-15 13:11:00,104,"Komaram Bheem Asifabad.pdf","TRUE"
"TG","Mahabubabad",2020-12-15 13:11:00,104,"Mahabubabad.pdf","TRUE"
"TG","Mahabubnagar",2020-12-15 13:11:00,104,"Mahabubnagar.pdf","TRUE"
"TG","Mancherial",2020-12-15 13:11:00,104,"Mancherial.pdf","TRUE"
"TG","Medak",2020-12-15 13:11:00,104,"Medak.pdf","TRUE"
"TG","Medchal-Malkajgiri",2020-12-15 13:11:00,104,"Medchal-Malkajgiri.pdf","TRUE"
"TG","Nagarkurnool",2020-12-15 13:11:00,104,"Nagarkurnool.pdf","TRUE"
"TG","Nalgonda",2020-12-15 13:11:00,104,"Nalgonda.pdf","TRUE"
"TG","Nirmal",2020-12-15 13:11:00,104,"Nirmal.pdf","TRUE"
"TG","Nizamabad",2020-12-15 13:11:00,104,"Nizamabad.pdf","TRUE"
"TG","Peddapalli",2020-12-15 13:11:00,104,"Peddapalli.pdf","TRUE"
"TG","Rajanna Sircilla",2020-12-15 13:11:00,104,"Rajanna Sircilla.pdf","TRUE"
"TG","Ranga Reddy",2020-12-15 13:11:00,104,"Ranga Reddy.pdf","TRUE"
"TG","Sangareddy",2020-12-15 13:11:00,104,"Sangareddy.pdf","TRUE"
"TG","Siddipet",2020-12-15 13:11:00,104,"Siddipet.pdf","TRUE"
"TG","Suryapet",2020-12-15 13:11:00,104,"Suryapet.pdf","TRUE"
"TG","Vikarabad",2020-12-15 13:11:00,104,"Vikarabad.pdf","TRUE"
"TG","Wanaparthy",2020-12-15 13:11:00,104,"Wanaparthy.pdf","TRUE"
"TG","Warangal Rural",2020-12-15 13:11:00,104,"Warangal Rural.pdf","TRUE"
"TG","Warangal Urban",2020-12-15 13:11:00,104,"Warangal Urban.pdf","TRUE"
"TG","Yadadri Bhuvanagiri",2020-12-15 13:11:00,104,"Yadadri Bhuvanagiri.pdf","TRUE"
"TR","Dhalai",2020-12-15 13:11:00,104,"Dhalai.pdf","TRUE"
"WB","Bankura",2020-12-15 13:11:00,104,"Bankura.pdf","TRUE"
"WB","Birbhum",2020-12-15 13:11:00,104,"Birbhum.pdf","TRUE"
